geolocation_zip_code_prefix,geolocation_city,geolocation_state,geolocation_country,geolocation_city_state
1135,SAO PAULO,SP,BR,SAO PAULO - SP
1136,SÃO PAULO,SP,BR,SÃO PAULO - SP
1137,SÃO PAULO,SP,BR,SÃO PAULO - SP
1138,SAO PAULO,SP,BR,SAO PAULO - SP
1139,SAO PAULO,SP,BR,SAO PAULO - SP
1140,SAO PAULO,SP,BR,SAO PAULO - SP
1141,SÃO PAULO,SP,BR,SÃO PAULO - SP
1142,SAO PAULO,SP,BR,SAO PAULO - SP
1144,SAO PAULO,SP,BR,SAO PAULO - SP
1150,SAO PAULO,SP,BR,SAO PAULO - SP
1151,SAO PAULO,SP,BR,SAO PAULO - SP
1152,SAO PAULO,SP,BR,SAO PAULO - SP
1153,SÃO PAULO,SP,BR,SÃO PAULO - SP
1154,SAO PAULO,SP,BR,SAO PAULO - SP
1155,SAO PAULO,SP,BR,SAO PAULO - SP
1156,SÃO PAULO,SP,BR,SÃO PAULO - SP
1189,SAO PAULO,SP,BR,SAO PAULO - SP
1200,SAO PAULO,SP,BR,SAO PAULO - SP
1201,SAO PAULO,SP,BR,SAO PAULO - SP
1202,SÃO PAULO,SP,BR,SÃO PAULO - SP
1203,SAO PAULO,SP,BR,SAO PAULO - SP
1204,SAO PAULO,SP,BR,SAO PAULO - SP
1205,SÃO PAULO,SP,BR,SÃO PAULO - SP
1206,SAO PAULO,SP,BR,SAO PAULO - SP
1207,SAO PAULO,SP,BR,SAO PAULO - SP
1208,SAO PAULO,SP,BR,SAO PAULO - SP
1209,SAO PAULO,SP,BR,SAO PAULO - SP
1210,SÃO PAULO,SP,BR,SÃO PAULO - SP
1211,SAO PAULO,SP,BR,SAO PAULO - SP
1212,SÃO PAULO,SP,BR,SÃO PAULO - SP
1213,SAO PAULO,SP,BR,SAO PAULO - SP
1214,SAO PAULO,SP,BR,SAO PAULO - SP
1215,SÃO PAULO,SP,BR,SÃO PAULO - SP
1216,SAO PAULO,SP,BR,SAO PAULO - SP
1217,SAO PAULO,SP,BR,SAO PAULO - SP
1218,SÃO PAULO,SP,BR,SÃO PAULO - SP
1219,SAO PAULO,SP,BR,SAO PAULO - SP
1220,SAO PAULO,SP,BR,SAO PAULO - SP
1221,SAO PAULO,SP,BR,SAO PAULO - SP
1222,SÃO PAULO,SP,BR,SÃO PAULO - SP
1223,SAO PAULO,SP,BR,SAO PAULO - SP
1224,SAO PAULO,SP,BR,SAO PAULO - SP
1225,SAO PAULO,SP,BR,SAO PAULO - SP
1226,SÃO PAULO,SP,BR,SÃO PAULO - SP
1227,SAO PAULO,SP,BR,SAO PAULO - SP
1228,SAO PAULO,SP,BR,SAO PAULO - SP
1229,SAO PAULO,SP,BR,SAO PAULO - SP
1230,SAO PAULO,SP,BR,SAO PAULO - SP
1231,SAO PAULO,SP,BR,SAO PAULO - SP
1232,SAO PAULO,SP,BR,SAO PAULO - SP
1233,SAO PAULO,SP,BR,SAO PAULO - SP
1234,SAO PAULO,SP,BR,SAO PAULO - SP
1235,SAO PAULO,SP,BR,SAO PAULO - SP
1236,SAO PAULO,SP,BR,SAO PAULO - SP
1237,SAO PAULO,SP,BR,SAO PAULO - SP
1238,SAO PAULO,SP,BR,SAO PAULO - SP
1239,SAO PAULO,SP,BR,SAO PAULO - SP
1240,SAO PAULO,SP,BR,SAO PAULO - SP
1241,SÃO PAULO,SP,BR,SÃO PAULO - SP
1242,SAO PAULO,SP,BR,SAO PAULO - SP
1243,SAO PAULO,SP,BR,SAO PAULO - SP
1244,SAO PAULO,SP,BR,SAO PAULO - SP
1245,SÃO PAULO,SP,BR,SÃO PAULO - SP
1246,SAO PAULO,SP,BR,SAO PAULO - SP
1247,SÃO PAULO,SP,BR,SÃO PAULO - SP
1248,SAO PAULO,SP,BR,SAO PAULO - SP
1249,SAO PAULO,SP,BR,SAO PAULO - SP
1250,SAO PAULO,SP,BR,SAO PAULO - SP
1251,SÃO PAULO,SP,BR,SÃO PAULO - SP
1252,SAO PAULO,SP,BR,SAO PAULO - SP
1253,SAO PAULO,SP,BR,SAO PAULO - SP
1254,SÃO PAULO,SP,BR,SÃO PAULO - SP
1255,SAO PAULO,SP,BR,SAO PAULO - SP
1256,SÃO PAULO,SP,BR,SÃO PAULO - SP
1257,SAO PAULO,SP,BR,SAO PAULO - SP
1258,SAO PAULO,SP,BR,SAO PAULO - SP
1259,SAO PAULO,SP,BR,SAO PAULO - SP
1262,SAO PAULO,SP,BR,SAO PAULO - SP
1290,SÃO PAULO,SP,BR,SÃO PAULO - SP
1301,SAO PAULO,SP,BR,SAO PAULO - SP
1302,SAO PAULO,SP,BR,SAO PAULO - SP
1303,SAO PAULO,SP,BR,SAO PAULO - SP
1304,SAO PAULO,SP,BR,SAO PAULO - SP
1305,SAO PAULO,SP,BR,SAO PAULO - SP
1306,SAO PAULO,SP,BR,SAO PAULO - SP
1307,SAO PAULO,SP,BR,SAO PAULO - SP
1308,SAO PAULO,SP,BR,SAO PAULO - SP
1309,SÃO PAULO,SP,BR,SÃO PAULO - SP
1310,SAO PAULO,SP,BR,SAO PAULO - SP
1311,SAO PAULO,SP,BR,SAO PAULO - SP
1312,SAO PAULO,SP,BR,SAO PAULO - SP
1313,SAO PAULO,SP,BR,SAO PAULO - SP
1314,SAO PAULO,SP,BR,SAO PAULO - SP
1315,SAO PAULO,SP,BR,SAO PAULO - SP
1316,SAO PAULO,SP,BR,SAO PAULO - SP
1317,SAO PAULO,SP,BR,SAO PAULO - SP
1318,SAO PAULO,SP,BR,SAO PAULO - SP
1319,SÃO PAULO,SP,BR,SÃO PAULO - SP
1320,SAO PAULO,SP,BR,SAO PAULO - SP
1321,SAO PAULO,SP,BR,SAO PAULO - SP
1322,SAO PAULO,SP,BR,SAO PAULO - SP
1323,SAO PAULO,SP,BR,SAO PAULO - SP
1324,SAO PAULO,SP,BR,SAO PAULO - SP
1325,SAO PAULO,SP,BR,SAO PAULO - SP
1326,SAO PAULO,SP,BR,SAO PAULO - SP
1327,SAO PAULO,SP,BR,SAO PAULO - SP
1328,SAO PAULO,SP,BR,SAO PAULO - SP
1329,SAO PAULO,SP,BR,SAO PAULO - SP
1330,SAO PAULO,SP,BR,SAO PAULO - SP
1331,SAO PAULO,SP,BR,SAO PAULO - SP
1332,SAO PAULO,SP,BR,SAO PAULO - SP
1333,SAO PAULO,SP,BR,SAO PAULO - SP
1401,SAO PAULO,SP,BR,SAO PAULO - SP
1402,SAO PAULO,SP,BR,SAO PAULO - SP
1403,SÃO PAULO,SP,BR,SÃO PAULO - SP
1404,SAO PAULO,SP,BR,SAO PAULO - SP
1405,SAO PAULO,SP,BR,SAO PAULO - SP
1406,SÃO PAULO,SP,BR,SÃO PAULO - SP
1407,SAO PAULO,SP,BR,SAO PAULO - SP
1408,SAO PAULO,SP,BR,SAO PAULO - SP
1409,SAO PAULO,SP,BR,SAO PAULO - SP
1410,SAO PAULO,SP,BR,SAO PAULO - SP
1411,SAO PAULO,SP,BR,SAO PAULO - SP
1412,SÃO PAULO,SP,BR,SÃO PAULO - SP
1413,SÃO PAULO,SP,BR,SÃO PAULO - SP
1414,SÃO PAULO,SP,BR,SÃO PAULO - SP
1415,SAO PAULO,SP,BR,SAO PAULO - SP
1416,SAO PAULO,SP,BR,SAO PAULO - SP
1417,SAO PAULO,SP,BR,SAO PAULO - SP
1418,SAO PAULO,SP,BR,SAO PAULO - SP
1419,SAO PAULO,SP,BR,SAO PAULO - SP
1420,SAO PAULO,SP,BR,SAO PAULO - SP
1421,SÃO PAULO,SP,BR,SÃO PAULO - SP
1422,SAO PAULO,SP,BR,SAO PAULO - SP
1423,SAO PAULO,SP,BR,SAO PAULO - SP
1424,SAO PAULO,SP,BR,SAO PAULO - SP
1425,SAO PAULO,SP,BR,SAO PAULO - SP
1426,SAO PAULO,SP,BR,SAO PAULO - SP
1427,SÃO PAULO,SP,BR,SÃO PAULO - SP
1428,SAO PAULO,SP,BR,SAO PAULO - SP
1429,SÃO PAULO,SP,BR,SÃO PAULO - SP
1430,SAO PAULO,SP,BR,SAO PAULO - SP
1431,SAO PAULO,SP,BR,SAO PAULO - SP
1432,SAO PAULO,SP,BR,SAO PAULO - SP
1433,SÃO PAULO,SP,BR,SÃO PAULO - SP
1434,SAO PAULO,SP,BR,SAO PAULO - SP
1435,SAO PAULO,SP,BR,SAO PAULO - SP
1436,SAO PAULO,SP,BR,SAO PAULO - SP
1437,SAO PAULO,SP,BR,SAO PAULO - SP
1438,SAO PAULO,SP,BR,SAO PAULO - SP
1439,SAO PAULO,SP,BR,SAO PAULO - SP
1440,SAO PAULO,SP,BR,SAO PAULO - SP
1441,SÃO PAULO,SP,BR,SÃO PAULO - SP
1442,SAO PAULO,SP,BR,SAO PAULO - SP
1443,SAO PAULO,SP,BR,SAO PAULO - SP
1444,SAO PAULO,SP,BR,SAO PAULO - SP
1445,SAO PAULO,SP,BR,SAO PAULO - SP
1446,SAO PAULO,SP,BR,SAO PAULO - SP
1447,SAO PAULO,SP,BR,SAO PAULO - SP
1448,SAO PAULO,SP,BR,SAO PAULO - SP
1449,SAO PAULO,SP,BR,SAO PAULO - SP
1450,SAO PAULO,SP,BR,SAO PAULO - SP
1451,SAO PAULO,SP,BR,SAO PAULO - SP
1452,SAO PAULO,SP,BR,SAO PAULO - SP
1453,SAO PAULO,SP,BR,SAO PAULO - SP
1454,SAO PAULO,SP,BR,SAO PAULO - SP
1455,SAO PAULO,SP,BR,SAO PAULO - SP
1456,SAO PAULO,SP,BR,SAO PAULO - SP
1457,SAO PAULO,SP,BR,SAO PAULO - SP
1472,SAO PAULO,SP,BR,SAO PAULO - SP
1489,SAO PAULO,SP,BR,SAO PAULO - SP
1501,SÃO PAULO,SP,BR,SÃO PAULO - SP
1502,SAO PAULO,SP,BR,SAO PAULO - SP
1503,SÃO PAULO,SP,BR,SÃO PAULO - SP
1504,SAO PAULO,SP,BR,SAO PAULO - SP
1505,SÃO PAULO,SP,BR,SÃO PAULO - SP
1506,SÃO PAULO,SP,BR,SÃO PAULO - SP
1507,SÃO PAULO,SP,BR,SÃO PAULO - SP
1508,SAO PAULO,SP,BR,SAO PAULO - SP
1509,SAO PAULO,SP,BR,SAO PAULO - SP
1510,SAO PAULO,SP,BR,SAO PAULO - SP
1511,SAO PAULO,SP,BR,SAO PAULO - SP
1512,SAO PAULO,SP,BR,SAO PAULO - SP
1513,SAO PAULO,SP,BR,SAO PAULO - SP
1514,SAO PAULO,SP,BR,SAO PAULO - SP
1516,SAO PAULO,SP,BR,SAO PAULO - SP
1517,SAO PAULO,SP,BR,SAO PAULO - SP
1518,SAO PAULO,SP,BR,SAO PAULO - SP
1519,SAO PAULO,SP,BR,SAO PAULO - SP
1520,SAO PAULO,SP,BR,SAO PAULO - SP
1521,SAO PAULO,SP,BR,SAO PAULO - SP
1522,SAO PAULO,SP,BR,SAO PAULO - SP
1523,SAO PAULO,SP,BR,SAO PAULO - SP
1524,SAO PAULO,SP,BR,SAO PAULO - SP
1525,SAO PAULO,SP,BR,SAO PAULO - SP
1526,SAO PAULO,SP,BR,SAO PAULO - SP
1527,SAO PAULO,SP,BR,SAO PAULO - SP
1528,SAO PAULO,SP,BR,SAO PAULO - SP
1529,SAO PAULO,SP,BR,SAO PAULO - SP
1530,SAO PAULO,SP,BR,SAO PAULO - SP
1531,SAO PAULO,SP,BR,SAO PAULO - SP
1532,SAO PAULO,SP,BR,SAO PAULO - SP
1533,SAO PAULO,SP,BR,SAO PAULO - SP
1534,SAO PAULO,SP,BR,SAO PAULO - SP
1535,SAO PAULO,SP,BR,SAO PAULO - SP
1536,SAO PAULO,SP,BR,SAO PAULO - SP
1537,SAO PAULO,SP,BR,SAO PAULO - SP
1538,SÃO PAULO,SP,BR,SÃO PAULO - SP
1539,SAO PAULO,SP,BR,SAO PAULO - SP
1540,SAO PAULO,SP,BR,SAO PAULO - SP
1541,SAO PAULO,SP,BR,SAO PAULO - SP
1542,SAO PAULO,SP,BR,SAO PAULO - SP
1543,SAO PAULO,SP,BR,SAO PAULO - SP
1544,SAO PAULO,SP,BR,SAO PAULO - SP
1545,SAO PAULO,SP,BR,SAO PAULO - SP
1546,SÃO PAULO,SP,BR,SÃO PAULO - SP
1547,SAO PAULO,SP,BR,SAO PAULO - SP
1548,SAO PAULO,SP,BR,SAO PAULO - SP
1549,SAO PAULO,SP,BR,SAO PAULO - SP
1550,SAO PAULO,SP,BR,SAO PAULO - SP
1551,SAO PAULO,SP,BR,SAO PAULO - SP
1552,SAO PAULO,SP,BR,SAO PAULO - SP
1553,SAO PAULO,SP,BR,SAO PAULO - SP
2009,SAO PAULO,SP,BR,SAO PAULO - SP
2010,SÃO PAULO,SP,BR,SÃO PAULO - SP
2011,SAO PAULO,SP,BR,SAO PAULO - SP
2012,SAO PAULO,SP,BR,SAO PAULO - SP
2013,SAO PAULO,SP,BR,SAO PAULO - SP
2016,SAO PAULO,SP,BR,SAO PAULO - SP
2017,SÃO PAULO,SP,BR,SÃO PAULO - SP
2018,SAO PAULO,SP,BR,SAO PAULO - SP
2019,SAO PAULO,SP,BR,SAO PAULO - SP
2020,SAO PAULO,SP,BR,SAO PAULO - SP
2021,SAO PAULO,SP,BR,SAO PAULO - SP
2022,SÃO PAULO,SP,BR,SÃO PAULO - SP
2028,SAO PAULO,SP,BR,SAO PAULO - SP
2029,SAO PAULO,SP,BR,SAO PAULO - SP
2030,SAO PAULO,SP,BR,SAO PAULO - SP
2031,SAO PAULO,SP,BR,SAO PAULO - SP
2032,SAO PAULO,SP,BR,SAO PAULO - SP
2033,SAO PAULO,SP,BR,SAO PAULO - SP
2034,SAO PAULO,SP,BR,SAO PAULO - SP
2035,SÃO PAULO,SP,BR,SÃO PAULO - SP
2036,SAO PAULO,SP,BR,SAO PAULO - SP
2037,SAO PAULO,SP,BR,SAO PAULO - SP
2038,SAO PAULO,SP,BR,SAO PAULO - SP
2039,SAO PAULO,SP,BR,SAO PAULO - SP
2040,SAO PAULO,SP,BR,SAO PAULO - SP
2041,SAO PAULO,SP,BR,SAO PAULO - SP
2042,SAO PAULO,SP,BR,SAO PAULO - SP
2043,SAO PAULO,SP,BR,SAO PAULO - SP
2044,SAO PAULO,SP,BR,SAO PAULO - SP
2045,SAO PAULO,SP,BR,SAO PAULO - SP
2046,SAO PAULO,SP,BR,SAO PAULO - SP
2047,SAO PAULO,SP,BR,SAO PAULO - SP
2049,SÃO PAULO,SP,BR,SÃO PAULO - SP
2050,SÃO PAULO,SP,BR,SÃO PAULO - SP
2051,SAO PAULO,SP,BR,SAO PAULO - SP
2052,SAO PAULO,SP,BR,SAO PAULO - SP
2053,SAO PAULO,SP,BR,SAO PAULO - SP
2054,SAO PAULO,SP,BR,SAO PAULO - SP
2055,SAO PAULO,SP,BR,SAO PAULO - SP
2056,SÃO PAULO,SP,BR,SÃO PAULO - SP
2060,SAO PAULO,SP,BR,SAO PAULO - SP
2064,SAO PAULO,SP,BR,SAO PAULO - SP
2065,SAO PAULO,SP,BR,SAO PAULO - SP
2066,SAO PAULO,SP,BR,SAO PAULO - SP
2067,SAO PAULO,SP,BR,SAO PAULO - SP
2068,SAO PAULO,SP,BR,SAO PAULO - SP
2069,SAO PAULO,SP,BR,SAO PAULO - SP
2071,SAO PAULO,SP,BR,SAO PAULO - SP
2072,SAO PAULO,SP,BR,SAO PAULO - SP
2073,SAO PAULO,SP,BR,SAO PAULO - SP
2074,SAO PAULO,SP,BR,SAO PAULO - SP
2075,SAO PAULO,SP,BR,SAO PAULO - SP
2076,SAO PAULO,SP,BR,SAO PAULO - SP
2077,SAO PAULO,SP,BR,SAO PAULO - SP
2078,SAO PAULO,SP,BR,SAO PAULO - SP
2079,SAO PAULO,SP,BR,SAO PAULO - SP
2080,SAO PAULO,SP,BR,SAO PAULO - SP
2081,SAO PAULO,SP,BR,SAO PAULO - SP
2082,SAO PAULO,SP,BR,SAO PAULO - SP
2083,SAO PAULO,SP,BR,SAO PAULO - SP
2084,SAO PAULO,SP,BR,SAO PAULO - SP
2085,SAO PAULO,SP,BR,SAO PAULO - SP
2088,SAO PAULO,SP,BR,SAO PAULO - SP
2089,SAO PAULO,SP,BR,SAO PAULO - SP
2110,SAO PAULO,SP,BR,SAO PAULO - SP
2111,SAO PAULO,SP,BR,SAO PAULO - SP
2112,SÃO PAULO,SP,BR,SÃO PAULO - SP
2113,SAO PAULO,SP,BR,SAO PAULO - SP
2114,SAO PAULO,SP,BR,SAO PAULO - SP
2115,SAO PAULO,SP,BR,SAO PAULO - SP
2116,SAO PAULO,SP,BR,SAO PAULO - SP
2117,SAO PAULO,SP,BR,SAO PAULO - SP
2118,SAO PAULO,SP,BR,SAO PAULO - SP
2119,SAO PAULO,SP,BR,SAO PAULO - SP
2120,SÃO PAULO,SP,BR,SÃO PAULO - SP
2121,SAO PAULO,SP,BR,SAO PAULO - SP
2122,SAO PAULO,SP,BR,SAO PAULO - SP
2123,SAO PAULO,SP,BR,SAO PAULO - SP
2124,SAO PAULO,SP,BR,SAO PAULO - SP
2125,SAO PAULO,SP,BR,SAO PAULO - SP
2126,SAO PAULO,SP,BR,SAO PAULO - SP
2127,SAO PAULO,SP,BR,SAO PAULO - SP
2128,SAO PAULO,SP,BR,SAO PAULO - SP
2129,SAO PAULO,SP,BR,SAO PAULO - SP
2130,SÃO PAULO,SP,BR,SÃO PAULO - SP
2131,SAO PAULO,SP,BR,SAO PAULO - SP
2132,SAO PAULO,SP,BR,SAO PAULO - SP
2133,SAO PAULO,SP,BR,SAO PAULO - SP
2134,SAO PAULO,SP,BR,SAO PAULO - SP
2135,SAO PAULO,SP,BR,SAO PAULO - SP
2136,SÃO PAULO,SP,BR,SÃO PAULO - SP
2137,SAO PAULO,SP,BR,SAO PAULO - SP
2138,SAO PAULO,SP,BR,SAO PAULO - SP
2139,SÃO PAULO,SP,BR,SÃO PAULO - SP
2141,SÃO PAULO,SP,BR,SÃO PAULO - SP
2142,SAO PAULO,SP,BR,SAO PAULO - SP
2143,SAO PAULO,SP,BR,SAO PAULO - SP
2144,SAO PAULO,SP,BR,SAO PAULO - SP
2145,SAO PAULO,SP,BR,SAO PAULO - SP
2146,SAO PAULO,SP,BR,SAO PAULO - SP
2147,SÃO PAULO,SP,BR,SÃO PAULO - SP
2150,SAO PAULO,SP,BR,SAO PAULO - SP
2151,SAO PAULO,SP,BR,SAO PAULO - SP
2152,SÃO PAULO,SP,BR,SÃO PAULO - SP
2161,SÃO PAULO,SP,BR,SÃO PAULO - SP
2162,SÃO PAULO,SP,BR,SÃO PAULO - SP
2166,SAO PAULO,SP,BR,SAO PAULO - SP
2167,SAO PAULO,SP,BR,SAO PAULO - SP
2168,SÃO PAULO,SP,BR,SÃO PAULO - SP
2169,SAO PAULO,SP,BR,SAO PAULO - SP
2170,SÃO PAULO,SP,BR,SÃO PAULO - SP
2174,SAO PAULO,SP,BR,SAO PAULO - SP
2175,SAO PAULO,SP,BR,SAO PAULO - SP
2176,SAO PAULO,SP,BR,SAO PAULO - SP
2177,SAO PAULO,SP,BR,SAO PAULO - SP
2178,SÃO PAULO,SP,BR,SÃO PAULO - SP
2179,SAO PAULO,SP,BR,SAO PAULO - SP
2180,SAO PAULO,SP,BR,SAO PAULO - SP
2181,SÃO PAULO,SP,BR,SÃO PAULO - SP
2185,SAO PAULO,SP,BR,SAO PAULO - SP
2186,SAO PAULO,SP,BR,SAO PAULO - SP
2187,SAO PAULO,SP,BR,SAO PAULO - SP
2188,SAO PAULO,SP,BR,SAO PAULO - SP
2189,SÃO PAULO,SP,BR,SÃO PAULO - SP
2190,SAO PAULO,SP,BR,SAO PAULO - SP
2201,SÃO PAULO,SP,BR,SÃO PAULO - SP
2202,SAO PAULO,SP,BR,SAO PAULO - SP
2203,SAO PAULO,SP,BR,SAO PAULO - SP
2204,SAO PAULO,SP,BR,SAO PAULO - SP
2205,SAO PAULO,SP,BR,SAO PAULO - SP
2206,SÃO PAULO,SP,BR,SÃO PAULO - SP
2207,SAO PAULO,SP,BR,SAO PAULO - SP
2208,SAO PAULO,SP,BR,SAO PAULO - SP
2209,SAO PAULO,SP,BR,SAO PAULO - SP
2210,SAO PAULO,SP,BR,SAO PAULO - SP
2211,SAO PAULO,SP,BR,SAO PAULO - SP
2212,SAO PAULO,SP,BR,SAO PAULO - SP
2213,SAO PAULO,SP,BR,SAO PAULO - SP
2214,SÃO PAULO,SP,BR,SÃO PAULO - SP
2215,SAO PAULO,SP,BR,SAO PAULO - SP
2216,SAO PAULO,SP,BR,SAO PAULO - SP
2217,SÃO PAULO,SP,BR,SÃO PAULO - SP
2218,SAO PAULO,SP,BR,SAO PAULO - SP
2219,SAO PAULO,SP,BR,SAO PAULO - SP
2220,SAO PAULO,SP,BR,SAO PAULO - SP
2221,SAO PAULO,SP,BR,SAO PAULO - SP
2222,SAO PAULO,SP,BR,SAO PAULO - SP
2223,SAO PAULO,SP,BR,SAO PAULO - SP
2224,SAO PAULO,SP,BR,SAO PAULO - SP
2225,SAO PAULO,SP,BR,SAO PAULO - SP
2226,SAO PAULO,SP,BR,SAO PAULO - SP
2227,SAO PAULO,SP,BR,SAO PAULO - SP
2228,SAO PAULO,SP,BR,SAO PAULO - SP
2229,SAO PAULO,SP,BR,SAO PAULO - SP
2230,SAO PAULO,SP,BR,SAO PAULO - SP
2231,SÃO PAULO,SP,BR,SÃO PAULO - SP
2232,SAO PAULO,SP,BR,SAO PAULO - SP
2233,SAO PAULO,SP,BR,SAO PAULO - SP
2234,SÃO PAULO,SP,BR,SÃO PAULO - SP
2235,SAO PAULO,SP,BR,SAO PAULO - SP
2236,SAO PAULO,SP,BR,SAO PAULO - SP
2237,SAO PAULO,SP,BR,SAO PAULO - SP
2238,SAO PAULO,SP,BR,SAO PAULO - SP
2239,SAO PAULO,SP,BR,SAO PAULO - SP
2240,SAO PAULO,SP,BR,SAO PAULO - SP
2241,SAO PAULO,SP,BR,SAO PAULO - SP
2242,SAO PAULO,SP,BR,SAO PAULO - SP
2243,SAO PAULO,SP,BR,SAO PAULO - SP
2244,SAO PAULO,SP,BR,SAO PAULO - SP
2245,SAO PAULO,SP,BR,SAO PAULO - SP
2246,SAO PAULO,SP,BR,SAO PAULO - SP
2247,SAO PAULO,SP,BR,SAO PAULO - SP
2248,SAO PAULO,SP,BR,SAO PAULO - SP
2249,SAO PAULO,SP,BR,SAO PAULO - SP
2250,SAO PAULO,SP,BR,SAO PAULO - SP
2251,SAO PAULO,SP,BR,SAO PAULO - SP
2252,SAO PAULO,SP,BR,SAO PAULO - SP
2253,SAO PAULO,SP,BR,SAO PAULO - SP
2254,SAO PAULO,SP,BR,SAO PAULO - SP
2255,SAO PAULO,SP,BR,SAO PAULO - SP
2256,SÃO PAULO,SP,BR,SÃO PAULO - SP
2257,SAO PAULO,SP,BR,SAO PAULO - SP
2258,SAO PAULO,SP,BR,SAO PAULO - SP
2259,SÃO PAULO,SP,BR,SÃO PAULO - SP
2260,SAO PAULO,SP,BR,SAO PAULO - SP
2261,SAO PAULO,SP,BR,SAO PAULO - SP
2262,SAO PAULO,SP,BR,SAO PAULO - SP
2263,SÃO PAULO,SP,BR,SÃO PAULO - SP
2264,SÃO PAULO,SP,BR,SÃO PAULO - SP
2265,SÃO PAULO,SP,BR,SÃO PAULO - SP
2266,SÃO PAULO,SP,BR,SÃO PAULO - SP
2267,SAO PAULO,SP,BR,SAO PAULO - SP
2268,SAO PAULO,SP,BR,SAO PAULO - SP
